# What vanilla's own impact system played during this take.
#
# One row per collision the ragdoll path resolved to a sound, observed at the
# moment of the play rather than modelled afterwards. Times share this take's
# clock: the same t_ms the impacts CSV stamps.
#
# descriptor      the SNDR that fired - the name its wav files are found under
# branch          light = SNAM, heavy = NAM1. Vanilla's own loudness decision,
#                 which it makes on (NAM1 exists && magnitude >= threshold)
# heard           1 = it sounded, 0 = we dropped it and played ours instead
# static_atten_db the descriptor's fixed attenuation, in dB
# db_variance     +/- dB the audio engine rolls per play. NOT the roll itself
# files           how many wavs the descriptor picks between, uniformly
#
# What is deliberately absent: which of `files` was drawn, and what
# db_variance and freq_variance actually rolled. Both happen inside
# BSAudioManager after the sound handle is built and are not readable from
# outside it. A row says "one of N files, at this level, plus or minus this
# much" - it does not say which one, and anything reading it must not pretend
# otherwise.
seq,t_ms,descriptor,descriptor_id,impact_id,branch,heard,sound_level,static_atten_db,db_variance,freq_shift,freq_variance,priority,files,pos_x,pos_y,pos_z
137,28135.721,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,956.272,1811.015,-13.616
138,28135.724,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,956.272,1811.015,-13.616
139,28315.727,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,955.063,1801.223,-74.228
140,28315.731,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,955.063,1801.223,-74.228
141,29345.980,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,970.797,1796.074,0.947
142,29345.983,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,970.797,1796.074,0.947
143,30195.162,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,970.002,1802.035,-3.652
144,30195.164,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,970.002,1802.035,-3.652
145,30368.560,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,388.484,1555.202,18.955
146,30368.564,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,388.484,1555.202,18.955
147,30656.555,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,956.744,1813.511,24.791
148,30656.558,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,956.744,1813.511,24.791
149,30831.992,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,971.461,1802.810,8.740
150,30831.995,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,971.461,1802.810,8.740
151,31007.485,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,973.543,1808.295,11.653
152,31007.487,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,973.543,1808.295,11.653
153,32165.185,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,970.907,1808.190,9.505
154,32165.189,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,970.907,1808.190,9.505
155,32591.799,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,974.875,1807.008,11.993
156,32591.802,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,974.875,1807.008,11.993
157,32858.901,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,971.833,1807.962,9.493
158,32858.904,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,971.833,1807.962,9.493
159,33038.640,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,269.407,1663.206,34.034
160,33038.643,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,269.407,1663.206,34.034
161,33224.665,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,277.989,1661.261,16.618
162,33224.668,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,277.989,1661.261,16.618
163,33376.174,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,288.067,1647.694,-54.639
164,33376.177,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,288.067,1647.694,-54.639
165,33527.378,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,276.189,1639.546,12.395
166,33527.381,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,276.189,1639.546,12.395
167,34204.401,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,287.927,1587.931,-5.396
168,34204.404,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,287.927,1587.931,-5.396
169,34392.656,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,301.448,1581.532,0.488
170,34392.658,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,301.448,1581.532,0.488
171,34531.799,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,448.259,1812.531,-6.856
172,34531.801,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,448.259,1812.531,-6.856
173,34709.079,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,973.129,1807.621,6.493
174,34709.082,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,973.129,1807.621,6.493
175,34917.625,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,975.508,1810.720,4.819
176,34917.629,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,975.508,1810.720,4.819
177,35088.571,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,976.036,1808.437,7.374
178,35088.574,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,976.036,1808.437,7.374
179,35280.833,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,977.367,1811.898,4.958
180,35280.836,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,977.367,1811.898,4.958
181,35454.765,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,977.969,1809.995,11.574
182,35454.767,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,977.969,1809.995,11.574
183,35629.217,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,977.617,1810.578,11.464
184,35629.220,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,977.617,1810.578,11.464
185,35789.752,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,977.508,1812.501,5.498
186,35789.755,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,977.508,1812.501,5.498
187,36045.988,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,978.058,1809.562,11.128
188,36045.990,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,978.058,1809.562,11.128
189,36212.878,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,976.506,1811.124,5.680
190,36212.880,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,976.506,1811.124,5.680
191,36372.849,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,977.603,1811.870,5.125
192,36372.852,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,977.603,1811.870,5.125
193,36538.475,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,483.810,1595.138,20.540
