cut,source,kind,in_ms,out_ms,len_ms,inferred_slot,corr,note
A_wet_thick_squelch_of_raw_meat_and_offal_single_variation4-s02.wav,"Firefly_audio_A_wet,_thick_squelch_of_raw_meat_and_offal,_single_variation4.wav",short,354,476,122,gore_wet,0.97,satellite @708ms -27dB; satellite @864ms -31dB
A_wet_thick_squelch_of_raw_meat_and_offal_single_variation4-s03.wav,"Firefly_audio_A_wet,_thick_squelch_of_raw_meat_and_offal,_single_variation4.wav",short,466,714,248,gore_wet,0.97,satellite @708ms -27dB; satellite @864ms -31dB
A_wet_thick_squelch_of_raw_meat_and_offal_single_variation4-long.wav,"Firefly_audio_A_wet,_thick_squelch_of_raw_meat_and_offal,_single_variation4.wav",long,60,714,654,gore_wet,0.97,satellite @708ms -27dB; satellite @864ms -31dB
a_dry_meaty_damp_cut_of_meat_dropped_onto_a_butche_variation1-s01.wav,Firefly_audio_a_dry_meaty_damp_cut_of_meat_dropped_onto_a_butche_variation1.wav,short,135,298,163,imp_body,0.75,satellite @394ms -31dB
a_dry_meaty_damp_cut_of_meat_dropped_onto_a_butche_variation1-s02.wav,Firefly_audio_a_dry_meaty_damp_cut_of_meat_dropped_onto_a_butche_variation1.wav,short,285,400,115,imp_body,0.75,satellite @394ms -31dB
continuous_soft_rustle_of_heavy_woollen_cloak_fabr_variation1-loop.wav,Firefly_audio_continuous_soft_rustle_of_heavy_woollen_cloak_fabr_variation1.wav,loop,2980,5488,2508,foley_cloth,0.91,foley_cloth; window swept for seam
continuous_soft_rustle_of_heavy_woollen_cloak_fabr_variation1-long.wav,Firefly_audio_continuous_soft_rustle_of_heavy_woollen_cloak_fabr_variation1.wav,long,34,9862,9828,foley_cloth,0.91,"foley_cloth; full take, not seam-matched"
dull_muffled_thump_into_damp_soil_soft_dead_impac_variation1_1-s01.wav,"Firefly_audio_dull_muffled_thump_into_damp_soil,_soft_dead_impac_variation1(1).wav",single,15,566,551,surf_soft,1.0,satellite @580ms -33dB
dull_muffled_thump_into_damp_soil_soft_dead_impac_variation1-s01.wav,"Firefly_audio_dull_muffled_thump_into_damp_soil,_soft_dead_impac_variation1.wav",single,64,276,212,surf_soft,1.0,
dull_muffled_thump_into_damp_soil_soft_dead_impac_variation2-s01.wav,"Firefly_audio_dull_muffled_thump_into_damp_soil,_soft_dead_impac_variation2.wav",single,35,268,233,surf_soft,1.0,satellite @262ms -29dB
dull_muffled_thump_into_damp_soil_soft_dead_impac_variation4-s01.wav,"Firefly_audio_dull_muffled_thump_into_damp_soil,_soft_dead_impac_variation4.wav",single,13,464,451,surf_soft,1.0,
fish_slap_variation1-s01.wav,Firefly_audio_fish_slap_variation1.wav,short,274,392,118,imp_transient,0.98,satellite @94ms -31dB; satellite @158ms -31dB; satellite @604ms -26dB
fish_slap_variation1-s02.wav,Firefly_audio_fish_slap_variation1.wav,short,382,610,228,imp_transient,0.98,satellite @94ms -31dB; satellite @158ms -31dB; satellite @604ms -26dB
fish_slap_variation3_1-s01.wav,Firefly_audio_fish_slap_variation3(1).wav,single,328,1000,672,imp_transient,0.99,
fish_slap_variation3-s01.wav,Firefly_audio_fish_slap_variation3.wav,single,34,172,138,imp_transient,0.83,
fish_slap_variation4-s01.wav,Firefly_audio_fish_slap_variation4.wav,single,194,306,112,imp_transient,0.98,satellite @300ms -28dB; satellite @394ms -23dB; satellite @498ms -21dB; satellite @588ms -29dB; satellite @736ms -25dB
hard_flat_impact_against_cold_stone_flagstone_tig_variation1-s01.wav,"Firefly_audio_hard_flat_impact_against_cold_stone_flagstone,_tig_variation1.wav",single,22,448,426,surf_stone,0.89,
hard_flat_impact_of_human_body_against_cold_stone_variation1-s01.wav,Firefly_audio_hard_flat_impact_of_human_body_against_cold_stone__variation1.wav,single,20,544,524,surf_stone,0.96,
hard_flat_impact_of_human_body_against_cold_stone_variation3-s01.wav,Firefly_audio_hard_flat_impact_of_human_body_against_cold_stone__variation3.wav,single,34,818,784,surf_stone,0.99,
